Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
6.291365,-23.04087,5.75282,17.90729,0,0,0,0,0,0
6.324698,-23.04283,5.752941,17.90612,0,0,0,0,0,0
6.358031,-23.04133,5.752971,17.90569,0,0,0,0,0,0
6.391365,-23.04133,5.752971,17.90569,0,0,0,0,0,0
6.424698,-23.04102,5.75291,17.90436,0,0,0,0,0,0
6.458032,-23.04148,5.753065,17.90276,0,0,0,0,0,0
6.491365,-23.04148,5.753065,17.90276,0,0,0,0,0,0
6.524698,-23.04148,5.753065,17.90276,0,0,0,0,0,0
6.558032,-23.04148,5.753065,17.90276,0,0,0,0,0,0
6.591365,-23.04148,5.753065,17.90276,0,0,0,0,0,0
6.624698,-23.04212,5.753065,17.90295,0,0,0,0,0,0
6.658031,-23.04199,5.752851,17.9034,0,0,0,0,0,0
6.691365,-23.04211,5.752115,17.90788,0,0,0,0,0,0
6.724698,-23.0449,5.751009,17.91113,0,0,0,0,0,0
6.758031,-23.05454,5.749529,17.91975,0,0,0,0,0,0
6.791365,-23.07268,5.745412,17.9364,0,0,0,0,0,0
6.824698,-23.07911,5.742864,17.94516,0,0,0,0,0,0
6.858032,-23.08411,5.741081,17.9533,0,0,0,0,0,0
6.891365,-23.08924,5.739213,17.96021,0,0,0,0,0,0
6.924698,-23.0978,5.737509,17.96922,0,0,0,0,0,0
6.958032,-23.10195,5.736905,17.97467,0,0,0,0,0,0
6.991365,-23.10655,5.735677,17.98758,0,0,0,0,0,0
7.024698,-23.11264,5.73284,18.00468,0,0,0,0,0,0
7.058032,-23.11763,5.732132,18.0172,0,0,0,0,0,0
7.091365,-23.12584,5.731118,18.03661,0,0,0,0,0,0
7.124698,-23.13104,5.730963,18.04867,0,0,0,0,0,0
7.158031,-23.13338,5.731841,18.05937,0,0,0,0,0,0
7.191365,-23.13624,5.731733,18.07769,0,0,0,0,0,0
7.224698,-23.13177,5.734167,18.09786,0,0,0,0,0,0
7.258031,-23.13598,5.738133,18.09864,0,0,0,0,0,0
7.291365,-23.14908,5.739464,18.10353,0,0,0,0,0,0
7.324698,-23.16101,5.738987,18.11018,0,0,0,0,0,0
7.358032,-23.16832,5.73861,18.11065,0,0,0,0,0,0
7.391365,-23.17938,5.7335,18.1146,0,0,0,0,0,0
7.424698,-23.1849,5.730484,18.13008,0,0,0,0,0,0
7.458032,-23.19291,5.730465,18.13817,0,0,0,0,0,0
7.491365,-23.21433,5.730219,18.15311,0,0,0,0,0,0
7.524698,-23.23945,5.730687,18.16043,0,0,0,0,0,0
7.558032,-23.26856,5.731019,18.16657,0,0,0,0,0,0
7.591365,-23.25072,5.725154,18.16651,0,0,0,0,0,0
7.624698,-23.22621,5.726139,18.16374,0,0,0,0,0,0
7.658031,-23.22164,5.726464,18.15925,0,0,0,0,0,0
7.691365,-23.22669,5.726561,18.15284,0,0,0,0,0,0
7.724698,-23.23513,5.72663,18.15136,0,0,0,0,0,0
7.758031,-23.24959,5.726364,18.14704,0,0,0,0,0,0
7.791365,-23.2707,5.72734,18.13692,0,0,0,0,0,0
7.824698,-23.28479,5.728174,18.1262,0,0,0,0,0,0
7.858032,-23.29975,5.728714,18.11306,0,0,0,0,0,0
7.891365,-23.32322,5.719045,18.10723,0,0,0,0,0,0
7.924698,-23.33296,5.714228,18.11389,0,0,0,0,0,0
7.958032,-23.33924,5.708682,18.1221,0,0,0,0,0,0
7.991365,-23.34218,5.70327,18.13174,0,0,0,0,0,0
8.024698,-23.34135,5.69785,18.14616,0,0,0,0,0,0
8.058032,-23.34124,5.694726,18.157,0,0,0,0,0,0
8.091365,-23.33842,5.692507,18.16558,0,0,0,0,0,0
8.124699,-23.3317,5.691591,18.16797,0,0,0,0,0,0
8.158031,-23.32207,5.690374,18.16823,0,0,0,0,0,0
8.191365,-23.314,5.689407,18.1687,0,0,0,0,0,0
8.224698,-23.30847,5.68884,18.1628,0,0,0,0,0,0
8.258032,-23.3074,5.688772,18.15926,0,0,0,0,0,0
8.291365,-23.30584,5.689057,18.14845,0,0,0,0,0,0
8.324698,-23.30593,5.689878,18.13705,0,0,0,0,0,0
8.358031,-23.30684,5.69125,18.12078,0,0,0,0,0,0
8.391365,-23.3107,5.69406,18.10577,0,0,0,0,0,0
8.424698,-23.31494,5.696907,18.08882,0,0,0,0,0,0
8.458032,-23.31499,5.69888,18.07426,0,0,0,0,0,0
8.491364,-23.31829,5.699882,18.06808,0,0,0,0,0,0
8.524698,-23.32133,5.700749,18.06355,0,0,0,0,0,0
8.558032,-23.32356,5.70146,18.05886,0,0,0,0,0,0
8.591365,-23.32379,5.701642,18.05722,0,0,0,0,0,0
8.624699,-23.31924,5.70111,18.05651,0,0,0,0,0,0
8.658031,-23.31047,5.700545,18.05299,0,0,0,0,0,0
8.691365,-23.30171,5.700747,18.0494,0,0,0,0,0,0
8.724698,-23.2948,5.700917,18.04402,0,0,0,0,0,0
8.758032,-23.28994,5.700755,18.03983,0,0,0,0,0,0
8.791365,-23.28565,5.700559,18.03745,0,0,0,0,0,0
8.824698,-23.28452,5.700707,18.03385,0,0,0,0,0,0
8.858031,-23.28496,5.700506,18.03558,0,0,0,0,0,0
8.891365,-23.28572,5.700037,18.04074,0,0,0,0,0,0
8.924698,-23.28673,5.699781,18.04426,0,0,0,0,0,0
8.958032,-23.29002,5.69925,18.05321,0,0,0,0,0,0
8.991365,-23.29408,5.699306,18.05723,0,0,0,0,0,0
9.024698,-23.29976,5.699185,18.06658,0,0,0,0,0,0
9.058032,-23.30048,5.699036,18.06989,0,0,0,0,0,0
9.091365,-23.29135,5.698622,18.07442,0,0,0,0,0,0
9.124699,-23.28396,5.698494,18.07506,0,0,0,0,0,0
