Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
18.61101,-23.37234,5.641816,18.1082,0,0,0,0,0,0
18.64434,-23.37225,5.64073,18.10911,0,0,0,0,0,0
18.67768,-23.37356,5.6395,18.11204,0,0,0,0,0,0
18.71101,-23.37356,5.6395,18.11204,0,0,0,0,0,0
18.74434,-23.37575,5.639263,18.1121,0,0,0,0,0,0
18.77768,-23.37588,5.639862,18.10882,0,0,0,0,0,0
18.81101,-23.37812,5.639928,18.10724,0,0,0,0,0,0
18.84435,-23.38183,5.639768,18.10567,0,0,0,0,0,0
18.87768,-23.3877,5.639618,18.10424,0,0,0,0,0,0
18.91101,-23.39215,5.640012,18.10115,0,0,0,0,0,0
18.94435,-23.39952,5.640365,18.09842,0,0,0,0,0,0
18.97768,-23.40464,5.640248,18.0969,0,0,0,0,0,0
19.01101,-23.40831,5.640739,18.09574,0,0,0,0,0,0
19.04435,-23.41409,5.640317,18.09587,0,0,0,0,0,0
19.07768,-23.4163,5.641026,18.0947,0,0,0,0,0,0
19.11101,-23.42136,5.640674,18.09678,0,0,0,0,0,0
19.14434,-23.42282,5.641703,18.09518,0,0,0,0,0,0
19.17768,-23.42356,5.642734,18.09353,0,0,0,0,0,0
19.21101,-23.42431,5.643767,18.09189,0,0,0,0,0,0
19.24434,-23.42578,5.645247,18.09265,0,0,0,0,0,0
19.27768,-23.42656,5.647758,18.09169,0,0,0,0,0,0
19.31101,-23.42878,5.649497,18.08883,0,0,0,0,0,0
19.34435,-23.4303,5.651625,18.08631,0,0,0,0,0,0
19.37768,-23.4339,5.653159,18.08465,0,0,0,0,0,0
19.41101,-23.43613,5.655286,18.08214,0,0,0,0,0,0
19.44435,-23.43686,5.65761,18.08089,0,0,0,0,0,0
19.47768,-23.43977,5.660392,18.07635,0,0,0,0,0,0
19.51101,-23.44264,5.663162,18.07305,0,0,0,0,0,0
19.54435,-23.44691,5.666632,18.06973,0,0,0,0,0,0
19.57768,-23.4504,5.669925,18.0661,0,0,0,0,0,0
19.61101,-23.45605,5.673733,18.06116,0,0,0,0,0,0
19.64434,-23.46239,5.677572,18.05498,0,0,0,0,0,0
19.67768,-23.46869,5.680346,18.05169,0,0,0,0,0,0
19.71101,-23.4763,5.682022,18.04931,0,0,0,0,0,0
19.74434,-23.48325,5.684556,18.04713,0,0,0,0,0,0
19.77768,-23.48732,5.686583,18.04303,0,0,0,0,0,0
19.81101,-23.49273,5.689255,18.0401,0,0,0,0,0,0
19.84435,-23.49751,5.689997,18.03882,0,0,0,0,0,0
19.87768,-23.50092,5.691239,18.0372,0,0,0,0,0,0
19.91101,-23.50649,5.69241,18.037,0,0,0,0,0,0
19.94435,-23.50986,5.694494,18.03362,0,0,0,0,0,0
19.97768,-23.51185,5.695168,18.03156,0,0,0,0,0,0
20.01101,-23.51324,5.695168,18.03155,0,0,0,0,0,0
20.04435,-23.51388,5.69553,18.02992,0,0,0,0,0,0
20.07768,-23.51389,5.694848,18.02998,0,0,0,0,0,0
20.11101,-23.51308,5.69374,18.02893,0,0,0,0,0,0
20.14434,-23.5116,5.693256,18.02709,0,0,0,0,0,0
20.17768,-23.51229,5.691952,18.02793,0,0,0,0,0,0
20.21101,-23.51016,5.689796,18.02857,0,0,0,0,0,0
20.24434,-23.50802,5.689626,18.0283,0,0,0,0,0,0
20.27768,-23.50737,5.68727,18.03083,0,0,0,0,0,0
20.31101,-23.506,5.685796,18.03339,0,0,0,0,0,0
20.34435,-23.50441,5.680795,18.03465,0,0,0,0,0,0
20.37768,-23.50078,5.674522,18.04048,0,0,0,0,0,0
20.41101,-23.49634,5.66582,18.04603,0,0,0,0,0,0
20.44435,-23.48817,5.656688,18.05015,0,0,0,0,0,0
20.47768,-23.48059,5.643078,18.05469,0,0,0,0,0,0
20.51101,-23.47097,5.62695,18.06844,0,0,0,0,0,0
20.54435,-23.4628,5.609398,18.08472,0,0,0,0,0,0
20.57768,-23.45688,5.601107,18.09216,0,0,0,0,0,0
20.61101,-23.45324,5.596239,18.09908,0,0,0,0,0,0
20.64434,-23.44369,5.59141,18.10182,0,0,0,0,0,0
20.67768,-23.43924,5.58678,18.10499,0,0,0,0,0,0
20.71101,-23.43033,5.582855,18.1065,0,0,0,0,0,0
20.74434,-23.42358,5.577523,18.10677,0,0,0,0,0,0
20.77768,-23.41603,5.570671,18.10738,0,0,0,0,0,0
20.81101,-23.40917,5.563505,18.10959,0,0,0,0,0,0
20.84435,-23.40376,5.554608,18.11214,0,0,0,0,0,0
20.87768,-23.39908,5.547825,18.11475,0,0,0,0,0,0
20.91101,-23.39207,5.540125,18.1181,0,0,0,0,0,0
20.94435,-23.39117,5.535054,18.12077,0,0,0,0,0,0
20.97768,-23.38866,5.528255,18.12339,0,0,0,0,0,0
21.01101,-23.38394,5.52225,18.12265,0,0,0,0,0,0
21.04435,-23.38061,5.51391,18.12551,0,0,0,0,0,0
21.07768,-23.37962,5.506061,18.12715,0,0,0,0,0,0
21.11101,-23.37856,5.497886,18.12633,0,0,0,0,0,0
21.14434,-23.37665,5.487963,18.12417,0,0,0,0,0,0
21.17768,-23.37774,5.476087,18.12346,0,0,0,0,0,0
21.21101,-23.37647,5.46493,18.12106,0,0,0,0,0,0
21.24434,-23.3759,5.450071,18.11859,0,0,0,0,0,0
21.27768,-23.37696,5.435722,18.11473,0,0,0,0,0,0
21.31101,-23.37617,5.415534,18.11587,0,0,0,0,0,0
21.34435,-23.37396,5.399518,18.11933,0,0,0,0,0,0
21.37768,-23.37358,5.388754,18.12169,0,0,0,0,0,0
21.41101,-23.37309,5.375276,18.12605,0,0,0,0,0,0
21.44435,-23.3743,5.363137,18.12886,0,0,0,0,0,0
21.47768,-23.37206,5.343063,18.12765,0,0,0,0,0,0
21.51101,-23.37171,5.331364,18.12643,0,0,0,0,0,0
21.54435,-23.37141,5.320971,18.12875,0,0,0,0,0,0
21.57768,-23.37112,5.310492,18.12885,0,0,0,0,0,0
21.61101,-23.37243,5.298643,18.12944,0,0,0,0,0,0
21.64434,-23.37219,5.287698,18.13449,0,0,0,0,0,0
21.67768,-23.37524,5.27633,18.13816,0,0,0,0,0,0
21.71101,-23.3799,5.26457,18.13861,0,0,0,0,0,0
21.74434,-23.38554,5.254684,18.14152,0,0,0,0,0,0
21.77768,-23.39195,5.244834,18.1432,0,0,0,0,0,0
21.81101,-23.39509,5.234245,18.14424,0,0,0,0,0,0
21.84435,-23.39821,5.224935,18.14359,0,0,0,0,0,0
21.87768,-23.39973,5.217798,18.14099,0,0,0,0,0,0
21.91101,-23.40284,5.208844,18.13736,0,0,0,0,0,0
21.94435,-23.40429,5.197788,18.13478,0,0,0,0,0,0
21.97768,-23.4043,5.188602,18.13289,0,0,0,0,0,0
22.01101,-23.40352,5.183292,18.13357,0,0,0,0,0,0
22.04435,-23.40517,5.179424,18.13768,0,0,0,0,0,0
22.07768,-23.40518,5.177946,18.13984,0,0,0,0,0,0
22.11101,-23.4052,5.17762,18.14147,0,0,0,0,0,0
22.14434,-23.4052,5.17762,18.14147,0,0,0,0,0,0
22.17768,-23.4052,5.177614,18.1427,0,0,0,0,0,0
22.21101,-23.40521,5.178026,18.14326,0,0,0,0,0,0
22.24434,-23.40527,5.179671,18.1455,0,0,0,0,0,0
22.27768,-23.40536,5.184432,18.14778,0,0,0,0,0,0
22.31101,-23.40545,5.190979,18.14871,0,0,0,0,0,0
22.34435,-23.40709,5.193002,18.14664,0,0,0,0,0,0
22.37768,-23.40467,5.19455,18.14228,0,0,0,0,0,0
22.41101,-23.40244,5.195203,18.1389,0,0,0,0,0,0
22.44435,-23.40024,5.194876,18.14041,0,0,0,0,0,0
22.47768,-23.39949,5.196262,18.13724,0,0,0,0,0,0
22.51101,-23.39972,5.199597,18.14016,0,0,0,0,0,0
22.54435,-23.39744,5.211017,18.139,0,0,0,0,0,0
22.57768,-23.39681,5.218386,18.14086,0,0,0,0,0,0
22.61101,-23.39476,5.230165,18.13601,0,0,0,0,0,0
22.64434,-23.38574,5.237739,18.13071,0,0,0,0,0,0
22.67768,-23.37449,5.240508,18.12217,0,0,0,0,0,0
22.71101,-23.35802,5.242095,18.11644,0,0,0,0,0,0
22.74434,-23.33629,5.242401,18.11244,0,0,0,0,0,0
22.77768,-23.31646,5.239966,18.11172,0,0,0,0,0,0
22.81101,-23.29675,5.236646,18.10663,0,0,0,0,0,0
22.84435,-23.2815,5.231113,18.10757,0,0,0,0,0,0
22.87768,-23.27019,5.224121,18.1049,0,0,0,0,0,0
22.91101,-23.25588,5.21287,18.10226,0,0,0,0,0,0
22.94435,-23.24691,5.205433,18.10085,0,0,0,0,0,0
22.97768,-23.24153,5.199419,18.10412,0,0,0,0,0,0
23.01101,-23.23391,5.195555,18.1056,0,0,0,0,0,0
23.04435,-23.23094,5.192752,18.10863,0,0,0,0,0,0
23.07768,-23.22491,5.191834,18.10842,0,0,0,0,0,0
23.11101,-23.22139,5.190852,18.10877,0,0,0,0,0,0
23.14434,-23.21316,5.190339,18.10872,0,0,0,0,0,0
23.17768,-23.20675,5.189125,18.10599,0,0,0,0,0,0
23.21101,-23.19732,5.187025,18.10219,0,0,0,0,0,0
23.24434,-23.18704,5.186729,18.09842,0,0,0,0,0,0
23.27768,-23.18126,5.186411,18.09778,0,0,0,0,0,0
23.31101,-23.17352,5.186762,18.0947,0,0,0,0,0,0
23.34435,-23.16954,5.187469,18.09064,0,0,0,0,0,0
23.37768,-23.16398,5.187827,18.08793,0,0,0,0,0,0
23.41101,-23.1604,5.187827,18.08723,0,0,0,0,0,0
23.44435,-23.15864,5.187946,18.08503,0,0,0,0,0,0
23.47768,-23.15441,5.187547,18.08364,0,0,0,0,0,0
23.51101,-23.14804,5.185797,18.07973,0,0,0,0,0,0
23.54435,-23.14176,5.180779,18.07651,0,0,0,0,0,0
23.57768,-23.13625,5.176084,18.073,0,0,0,0,0,0
23.61101,-23.1344,5.17194,18.07116,0,0,0,0,0,0
23.64434,-23.13064,5.16651,18.07127,0,0,0,0,0,0
23.67768,-23.12833,5.162636,18.07172,0,0,0,0,0,0
23.71101,-23.12823,5.159923,18.07215,0,0,0,0,0,0
23.74434,-23.12819,5.156814,18.07199,0,0,0,0,0,0
23.77768,-23.12835,5.154074,18.07022,0,0,0,0,0,0
23.81101,-23.12926,5.149387,18.06793,0,0,0,0,0,0
23.84435,-23.13134,5.142899,18.06334,0,0,0,0,0,0
23.87768,-23.1348,5.136204,18.06104,0,0,0,0,0,0
23.91101,-23.13894,5.131467,18.05953,0,0,0,0,0,0
23.94435,-23.14341,5.127531,18.0615,0,0,0,0,0,0
23.97768,-23.14568,5.126147,18.06224,0,0,0,0,0,0
24.01101,-23.14936,5.124766,18.06328,0,0,0,0,0,0
24.04435,-23.15095,5.123593,18.06183,0,0,0,0,0,0
