Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
19.11842,-23.24959,5.32064,18.0104,0,0,0,0,0,0
19.15176,-23.24966,5.320486,18.01031,0,0,0,0,0,0
19.18509,-23.24898,5.320486,18.01021,0,0,0,0,0,0
19.21842,-23.24974,5.320333,18.01024,0,0,0,0,0,0
19.25175,-23.24905,5.320333,18.01013,0,0,0,0,0,0
19.28509,-23.24769,5.320333,18.00993,0,0,0,0,0,0
19.31842,-23.24844,5.320183,18.00995,0,0,0,0,0,0
19.35176,-23.24564,5.320333,18.00961,0,0,0,0,0,0
19.38509,-23.2464,5.320183,18.00964,0,0,0,0,0,0
19.41842,-23.24592,5.320865,18.00803,0,0,0,0,0,0
19.45176,-23.24715,5.320035,18.00967,0,0,0,0,0,0
19.48509,-23.24879,5.32057,18.00829,0,0,0,0,0,0
19.51842,-23.24736,5.320718,18.00816,0,0,0,0,0,0
19.55176,-23.24757,5.321403,18.00665,0,0,0,0,0,0
19.58509,-23.24757,5.321403,18.00665,0,0,0,0,0,0
19.61842,-23.24798,5.322779,18.00364,0,0,0,0,0,0
19.65176,-23.24962,5.323324,18.00227,0,0,0,0,0,0
19.68509,-23.2484,5.324163,18.00063,0,0,0,0,0,0
19.71842,-23.24861,5.324858,17.99913,0,0,0,0,0,0
19.75175,-23.25004,5.324712,17.99926,0,0,0,0,0,0
19.78509,-23.25025,5.325409,17.99776,0,0,0,0,0,0
19.81842,-23.25147,5.324568,17.99939,0,0,0,0,0,0
19.85176,-23.25168,5.325265,17.99789,0,0,0,0,0,0
19.88509,-23.25025,5.325409,17.99776,0,0,0,0,0,0
19.91842,-23.25168,5.325265,17.99789,0,0,0,0,0,0
19.95176,-23.25168,5.325265,17.99789,0,0,0,0,0,0
19.98509,-23.25025,5.325409,17.99776,0,0,0,0,0,0
20.01842,-23.25046,5.326108,17.99625,0,0,0,0,0,0
20.05176,-23.25168,5.325265,17.99789,0,0,0,0,0,0
20.08509,-23.25025,5.325409,17.99776,0,0,0,0,0,0
20.11842,-23.25025,5.325409,17.99776,0,0,0,0,0,0
20.15176,-23.25168,5.325265,17.99789,0,0,0,0,0,0
20.18509,-23.25147,5.324568,17.99939,0,0,0,0,0,0
20.21842,-23.25025,5.325409,17.99776,0,0,0,0,0,0
20.25175,-23.25025,5.325409,17.99776,0,0,0,0,0,0
20.28509,-23.25025,5.325409,17.99776,0,0,0,0,0,0
20.31842,-23.25025,5.325409,17.99776,0,0,0,0,0,0
20.35176,-23.25004,5.324712,17.99926,0,0,0,0,0,0
20.38509,-23.24957,5.325409,17.99765,0,0,0,0,0,0
20.41842,-23.24732,5.324712,17.99885,0,0,0,0,0,0
20.45176,-23.24461,5.324712,17.99843,0,0,0,0,0,0
20.48509,-23.24055,5.324712,17.99779,0,0,0,0,0,0
20.51842,-23.23512,5.324712,17.99693,0,0,0,0,0,0
20.55176,-23.22136,5.325155,17.99492,0,0,0,0,0,0
20.58509,-23.19928,5.326091,17.99159,0,0,0,0,0,0
20.61842,-23.17245,5.327267,17.98715,0,0,0,0,0,0
20.65176,-23.13616,5.32891,17.98046,0,0,0,0,0,0
20.68509,-23.09993,5.329528,17.97628,0,0,0,0,0,0
20.71842,-23.06707,5.330344,17.97231,0,0,0,0,0,0
20.75175,-23.03499,5.33111,17.96786,0,0,0,0,0,0
20.78509,-23.00508,5.331519,17.96322,0,0,0,0,0,0
20.81842,-22.97829,5.332697,17.95748,0,0,0,0,0,0
20.85176,-22.95247,5.333111,17.95088,0,0,0,0,0,0
20.88509,-22.923,5.3329,17.94361,0,0,0,0,0,0
20.91842,-22.90059,5.331287,17.93678,0,0,0,0,0,0
20.95176,-22.8816,5.329428,17.93052,0,0,0,0,0,0
20.98509,-22.87031,5.327868,17.92811,0,0,0,0,0,0
21.01842,-22.86449,5.325385,17.92697,0,0,0,0,0,0
21.05176,-22.85876,5.320493,17.92447,0,0,0,0,0,0
21.08509,-22.85636,5.312742,17.92478,0,0,0,0,0,0
21.11842,-22.85292,5.306208,17.92624,0,0,0,0,0,0
