Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
8.600842,-23.32154,5.234839,17.84078,0,0,0,0,0,0
8.618253,-23.32154,5.234839,17.84078,0,0,0,0,0,0
8.630658,-23.32031,5.236375,17.83909,0,0,0,0,0,0
8.647044,-23.32039,5.236491,17.83931,0,0,0,0,0,0
8.664025,-23.32057,5.237304,17.83874,0,0,0,0,0,0
8.686624,-23.31883,5.237305,17.83918,0,0,0,0,0,0
8.70386,-23.31891,5.237759,17.83874,0,0,0,0,0,0
8.72085,-23.31888,5.237747,17.83869,0,0,0,0,0,0
8.73768,-23.31888,5.237747,17.83869,0,0,0,0,0,0
8.749924,-23.31847,5.237015,17.83958,0,0,0,0,0,0
8.766728,-23.31845,5.237472,17.83854,0,0,0,0,0,0
8.784122,-23.31875,5.226604,17.82715,0,0,0,0,0,0
8.808262,-23.32555,5.220665,17.82679,0,0,0,0,0,0
8.826902,-23.32537,5.219543,17.82715,0,0,0,0,0,0
8.844667,-23.32612,5.227037,17.83971,0,0,0,0,0,0
8.862921,-23.32597,5.227826,17.84288,0,0,0,0,0,0
8.881126,-23.32574,5.227953,17.84335,0,0,0,0,0,0
8.900691,-23.32531,5.227347,17.84398,0,0,0,0,0,0
8.918467,-23.32531,5.227347,17.84398,0,0,0,0,0,0
8.930453,-23.32464,5.226304,17.84474,0,0,0,0,0,0
8.946755,-23.32442,5.226851,17.84377,0,0,0,0,0,0
8.963029,-23.32575,5.226258,17.84414,0,0,0,0,0,0
8.983195,-23.32557,5.226304,17.84396,0,0,0,0,0,0
9.000445,-23.32687,5.226188,17.84402,0,0,0,0,0,0
9.017416,-23.32687,5.226188,17.84402,0,0,0,0,0,0
9.030108,-23.32651,5.226112,17.84403,0,0,0,0,0,0
9.047458,-23.32773,5.225881,17.84409,0,0,0,0,0,0
9.065162,-23.32724,5.225495,17.84433,0,0,0,0,0,0
9.082115,-23.32541,5.226208,17.84353,0,0,0,0,0,0
9.09878,-23.32541,5.226208,17.84353,0,0,0,0,0,0
9.111973,-23.32676,5.225832,17.84373,0,0,0,0,0,0
9.13082,-23.32666,5.226647,17.84291,0,0,0,0,0,0
9.148548,-23.32478,5.227263,17.84271,0,0,0,0,0,0
9.168244,-23.32438,5.226968,17.84317,0,0,0,0,0,0
9.185968,-23.32568,5.226942,17.843,0,0,0,0,0,0
9.204036,-23.32187,5.22672,17.84337,0,0,0,0,0,0
9.222658,-23.31997,5.22753,17.84255,0,0,0,0,0,0
9.248059,-23.31811,5.227502,17.84268,0,0,0,0,0,0
9.265718,-23.3181,5.228384,17.84194,0,0,0,0,0,0
9.283865,-23.31779,5.22818,17.84247,0,0,0,0,0,0
9.301337,-23.31794,5.229817,17.84082,0,0,0,0,0,0
9.320256,-23.31748,5.228962,17.84221,0,0,0,0,0,0
9.33916,-23.31748,5.228962,17.84221,0,0,0,0,0,0
9.352552,-23.31588,5.230172,17.84083,0,0,0,0,0,0
9.370914,-23.31561,5.230016,17.84137,0,0,0,0,0,0
9.392385,-23.31693,5.229303,17.84192,0,0,0,0,0,0
9.411493,-23.31489,5.22891,17.84209,0,0,0,0,0,0
9.43016,-23.31471,5.229138,17.8417,0,0,0,0,0,0
9.448277,-23.3161,5.228824,17.842,0,0,0,0,0,0
9.465605,-23.31409,5.228205,17.84254,0,0,0,0,0,0
9.48353,-23.31375,5.227659,17.84278,0,0,0,0,0,0
9.500787,-23.31345,5.22692,17.84324,0,0,0,0,0,0
9.517485,-23.31345,5.22692,17.84324,0,0,0,0,0,0
9.529175,-23.31335,5.226939,17.84291,0,0,0,0,0,0
9.546556,-23.31494,5.226932,17.84283,0,0,0,0,0,0
9.565747,-23.31324,5.227186,17.84266,0,0,0,0,0,0
9.586235,-23.31488,5.227247,17.84261,0,0,0,0,0,0
9.605678,-23.3149,5.227427,17.84249,0,0,0,0,0,0
9.625961,-23.3166,5.227513,17.84242,0,0,0,0,0,0
